unnamed_col,RowId,ORDER-ID,ORDER DATE,ShipDate,SHIP_MODE,CUST-ID,CUSTOMER NAME,Segment,Country,City,State,Postal Code ,Region ,Product ID,Category,SubCategory,Product  Name,Sales USD,QTY ,Discount%,PROFIT($),Notes (Dirty)
9611,9612,CA-2017-144365,24/10/2017,10-30-2017,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Jackson,Mississippi,39212.0,North,OFF-FA-10000735,Office Supplies,Fasteners,Staples,11.68,4,0.0,5.256,
2404,2405,CA-2017-108574,,,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,90045.0,North,TEC-AC-10002049, Technology  ,Accessories,Logitech G19 Programmable Gaming Keyboard,1115.91,9,0.0,200.8638,
2476,2477,CA-2016-114972,,,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032.0,North,OFF-AP-10003057,OFFICE SUPPLIES,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1101.48,4,0.0,429.5772,
8698,8699,CA-2017-119284,2017-06-15,2017-06-20,Standard Class,TS-21205,Thomas Seio,Corporate,United States,Nashville,Tennessee,37211.0,North,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",120.96,2,0.4,-28.224,
9685,9686,CA-2017-118668,,,Second Class,FW-14395,Fred Wasserman,Corporate,United States,Los Angeles,California,90032.0,North,TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,$16.59,1,0.0,5.8065,
288,289,CA-2016-112697,18/12/2016,2016-12-20,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,North,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,5,0.2,-204.3145,
9241,9242,CA-2017-110310,2017-10-27,,Standard Class,NB-18655, Nona Balk ,Corporate,United States,Tallahassee,Florida,,North,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,6.576,3,0.2,0.5754,
6771,6772,CA-2017-139402,,13/12/2017,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Phoenix,Arizona,85023.0,North,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",$13.01,3,0.7,-9.9705,
9614,9615,CA-2014-128524,,2014-11-13,First Class,MZ-17515,Mary Zewe,Corporate,United States,Seattle,Washington,98115.0,North,TEC-AC-10002718,Technology,Accessories,Belkin Standard 104 key USB Keyboard,,7,0.0,15.3195,
1908,1909,CA-2015-157959,,,First Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008.0,North,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4,0.0,41.076,
6976,6977,CA-2015-112144,06-28-2015,,Standard,CY-12745,Craig Yedwab,Corporate,United States,Gilbert,Arizona,85234.0,North,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,621.76,4,0.2,46.632,
